id,front,back,image,audio,example,tags,phonetic,word_breakdown,usage_note,pattern_examples
w001,Bore da,Good morning,media/image/morning.png,media/audio/Bore da.m4a,Bore da,greeting,BOR-eh dah,"Bore = morning, da = good",Used as a greeting in the morning; works in both formal and informal situations.,Bore da / Prynhawn da / Noswaith dda,
w002,Prynhawn da,Good afternoon,media/image/afternoon.png,media/audio/Prynhawn da.m4a,Prynhawn da,greeting,PRUH-nown dah,"Prynhawn = afternoon, da = good",Used in the afternoon as a greeting; formal and informal.,Prynhawn da / Bore da / Noswaith dda,
w003,Noswaith dda,Good evening,media/image/evening.png,media/audio/Noswaith dda.m4a,Noswaith dda.,greeting,NOS-wythe thah,"Noswaith = evening, dda = good (soft mutation of 'da')",Used in the evening as a greeting; note the mutation from 'da' to 'dda'.,Noswaith dda / Bore da / Nos da,
w004,Nos da,Good night,media/image/night.png,media/audio/Nos da.m4a,Nos da,greeting,Nos dah,"Nos = night, da = good",Used when saying good night or before going to sleep.,Nos da / Noswaith dda / Bore da,
w005,Sut wyt ti?,How are you? (informal),media/image/Sut wyt ti.png,media/audio/Sut wyt ti .m4a,Sut wyt ti?,conversation,Sit oot tee,"Sut = how, wyt = are (you), ti = you (informal)",Informal way to ask someone how they are; use 'Sut ydych chi?' for formal or plural.,Sut wyt ti? / Sut ydych chi?,
w006,Da iawn,Very good,media/image/Da iawn.png,media/audio/Da iawn.m4a,"Da iawn, diolch!",response,Da yahwn,"Da = good, iawn = very",Means 'very good' or 'well'; common reply to 'How are you?'.,Da iawn / Iawn / Da,
w007,Diolch,Thank you,media/image/Diolch.png,media/audio/Diolch.m4a,Diolch am dy help.,polite,DEE-olkh,Diolch = thank you,Standard way to say thank you in Welsh; works in all situations.,Diolch / Diolch yn fawr / Diolch yn fawr iawn,
w008,Croeso,You're welcome,media/image/Croeso.png,media/audio/Croeso.m4a,Diolch — Croeso!,polite,CROY-so,Croeso = welcome,Means 'welcome' or 'you're welcome' in response to thanks.,Croeso / Dim problem,
w009,Dw i’n hoffi…,I like…,media/image/Dw i’n hoffi.png,media/audio/Dw i n hoffi.m4a,Dw i’n hoffi coffi.,preferences,Doo een HOH-fee,"Dw i’n = I am, hoffi = like",Used to express likes; follow with a noun or activity.,Dw i’n hoffi coffi / Dw i’n hoffi darllen,
w010,Dw i ddim yn hoffi…,I don’t like…,media/image/Dw i ddim yn hoffi.png,media/audio/Dw i ddim yn hoffi.m4a,Dw i ddim yn hoffi te.,preferences,Doo een THIM un HOH-fee,"Dw i ddim = I am not, yn hoffi = like",Used to express dislikes; follow with a noun or activity.,Dw i ddim yn hoffi te / Dw i ddim yn hoffi cig,
w011,Ble mae…?,Where is…?,media/image/Ble mae.png,media/audio/Ble mae .m4a,Ble mae’r orsaf?,"travel,question",Ble my,"Ble = where, mae = is",Use to ask where something is; add the item after 'Ble mae...'.,Ble mae’r orsaf? / Ble mae’r tŷ bach?,
